ID,Province,Regency,District
228,ACEH,KABUPATEN NAGAN RAYA,DARUL MAKMUR
229,ACEH,KABUPATEN NAGAN RAYA,TRIPA MAKMUR
230,ACEH,KABUPATEN NAGAN RAYA,KUALA
231,ACEH,KABUPATEN NAGAN RAYA,KUALA PESISIR
232,ACEH,KABUPATEN NAGAN RAYA,TADU RAYA
233,ACEH,KABUPATEN NAGAN RAYA,BEUTONG
234,ACEH,KABUPATEN NAGAN RAYA,BEUTONG ATEUH BANGGALANG
235,ACEH,KABUPATEN NAGAN RAYA,SEUNAGAN
236,ACEH,KABUPATEN NAGAN RAYA,SUKA MAKMUE
237,ACEH,KABUPATEN NAGAN RAYA,SEUNAGAN TIMUR
238,ACEH,KABUPATEN ACEH JAYA,TEUNOM
239,ACEH,KABUPATEN ACEH JAYA,PASIE RAYA
240,ACEH,KABUPATEN ACEH JAYA,PANGA
241,ACEH,KABUPATEN ACEH JAYA,KRUENG SABEE
242,ACEH,KABUPATEN ACEH JAYA,SETIA BAKTI
243,ACEH,KABUPATEN ACEH JAYA,SAMPOINIET
244,ACEH,KABUPATEN ACEH JAYA,DARUL HIKMAH
245,ACEH,KABUPATEN ACEH JAYA,JAYA
246,ACEH,KABUPATEN ACEH JAYA,INDRA JAYA
247,ACEH,KABUPATEN BENER MERIAH,TIMANG GAJAH
248,ACEH,KABUPATEN BENER MERIAH,GAJAH PUTIH
249,ACEH,KABUPATEN BENER MERIAH,PINTU RIME GAYO
250,ACEH,KABUPATEN BENER MERIAH,BUKIT
251,ACEH,KABUPATEN BENER MERIAH,WIH PESAM
252,ACEH,KABUPATEN BENER MERIAH,BANDAR
253,ACEH,KABUPATEN BENER MERIAH,BENER KELIPAH
254,ACEH,KABUPATEN BENER MERIAH,SYIAH UTAMA
255,ACEH,KABUPATEN BENER MERIAH,MESIDAH
256,ACEH,KABUPATEN BENER MERIAH,PERMATA
257,ACEH,KABUPATEN PIDIE JAYA,MEUREUDU
258,ACEH,KABUPATEN PIDIE JAYA,MEURAH DUA
259,ACEH,KABUPATEN PIDIE JAYA,BANDAR DUA
260,ACEH,KABUPATEN PIDIE JAYA,JANGKA BUYA
261,ACEH,KABUPATEN PIDIE JAYA,ULIM
262,ACEH,KABUPATEN PIDIE JAYA,TRIENGGADENG
263,ACEH,KABUPATEN PIDIE JAYA,PANTERAJA
264,ACEH,KABUPATEN PIDIE JAYA,BANDAR BARU
265,ACEH,KOTA BANDA ACEH,MEURAXA
266,ACEH,KOTA BANDA ACEH,JAYA BARU
267,ACEH,KOTA BANDA ACEH,BANDA RAYA
